id,name,mal,half,kg,cut_select,note,surcharge_eligible,piece_price,active
1,가래떡,60000,30000,6000,false,,false,0,true
2,떡국떡,70000,35000,7000,false,,false,0,true
3,떡볶이떡,60000,30000,6000,false,,false,0,true
4,혼합절편,70000,35000,7000,false,,true,0,true
5,약식,120000,60000,12000,false,1말 낱개 120개로 제공됩니다.,false,1000,true
6,바람떡,100000,50000,10000,false,,true,0,true
7,꿀떡,100000,50000,10000,false,,false,0,true
8,고사떡(메시루 7:3),110000,60000,12000,false,,false,0,true
9,찰고사떡(찰시루떡),120000,65000,13000,false,,false,0,true
10,흑임자인절미,130000,65000,13000,false,,false,0,true
11,영양찰떡(호박),120000,60000,12000,false,1말 낱개 120개로 제공됩니다.,false,1000,true
12,영양찰떡(흑미),120000,60000,12000,false,1말 낱개 120개로 제공됩니다.,false,1000,true
13,영양찰떡(흰쌀),120000,60000,12000,false,1말 낱개 120개로 제공됩니다.,false,1000,true
14,동부인절미(흰쌀),120000,60000,12000,false,,false,0,true
15,동부인절미(쑥),120000,60000,12000,false,,false,0,true
16,콩가루인절미(흰쌀),120000,60000,12000,false,,false,0,true
17,콩가루인절미(쑥),120000,60000,12000,false,,false,0,true
18,수수팥단지,130000,65000,13000,false,,false,0,true
19,동부편,110000,60000,12000,false,,false,0,true
20,콩시루편,110000,60000,12000,false,,false,0,true
21,쑥개떡,120000,60000,12000,false,,true,0,true
22,송편(모시),120000,60000,12000,false,,false,0,true
23,송편(동부),120000,60000,12000,false,,false,0,true
24,송편(깨),120000,60000,12000,false,,false,0,true
25,무지개떡,100000,50000,10000,true,,false,0,true
26,콩설기,100000,50000,10000,true,,false,0,true
27,모찌떡,130000,65000,13000,false,,false,0,true
28,백설기,80000,40000,8000,true,,false,0,true
29,수리취찰떡,130000,65000,13000,false,,false,0,true
30,증편,120000,60000,12000,false,,false,0,true
31,오곡밥,120000,,12000,false,,false,0,true
32,밥알쑥찰떡,120000,60000,12000,false,1말 낱개 120개로 제공됩니다.,false,1000,true
33,찐밥,80000,,8000,false,,false,0,true
34,마구설기(콩),100000,50000,10000,true,,false,0,true
35,마구설기(쑥),100000,50000,10000,true,,false,0,true
36,마구설기(호박),100000,50000,10000,true,,false,0,true
37,마구설기(흑미),100000,50000,10000,true,,false,0,true
